30,3,23,22,9,18,8,33,20,30,9,9,11,9,18,24,12,27,0,7,0.05,0.345,0.264,0.366,5.685,35450.59,48.73,1
29,4,21,19,11,18,6,27,21,28,5,16,13,10,15,21,13,31,0,11,0.069,0.32,0.279,0.379,5.925,35124.94,40.29,1
22,4,26,27,16,27,8,20,31,25,4,19,14,16,12,22,21,28,3,25,0.119,0.295,0.292,0.373,5.414,41959.52,31.36,1
24,10,25,35,9,30,12,29,27,47,18,23,8,15,19,18,22,17,0,13,0.055,0.377,0.259,0.342,5.406,45144.32,42.14,1
23,6,19,26,14,19,9,24,24,31,12,24,10,20,21,18,15,31,3,12,0.08,0.321,0.249,0.36,7.114,41293.92,36.98,1
36,1,22,34,14,44,14,39,25,27,8,33,13,12,15,24,39,47,0,12,0.057,0.283,0.296,0.388,5.362,49373.04,26.33,1
44,3,33,31,24,32,16,39,35,40,13,23,13,20,14,27,24,27,1,22,0.098,0.339,0.266,0.368,5.545,53804.54,31.88,1
18,0,19,32,20,26,5,8,20,38,6,16,11,8,12,23,17,27,4,13,0.115,0.353,0.294,0.393,4.734,36341.45,21.86,1
42,3,22,27,9,23,8,26,22,24,10,11,16,11,14,20,21,35,3,11,0.064,0.349,0.257,0.36,5.156,38947.05,30.66,1
44,5,31,41,17,41,13,37,32,46,14,25,22,22,25,23,27,48,2,20,0.073,0.331,0.265,0.368,5.446,59316.09,33.19,1
18,0,19,32,20,26,5,8,19,38,6,16,11,9,12,23,17,27,4,13,0.115,0.35,0.294,0.393,4.692,36341.40,21.86,1
40,3,22,27,9,23,8,26,22,24,10,11,16,11,14,21,21,36,3,11,0.064,0.344,0.26,0.363,5.156,38991.10,30.89,1
23,6,18,26,14,20,9,24,24,31,11,24,10,20,20,18,17,31,3,12,0.08,0.319,0.249,0.366,7.113,41150.71,35.35,1
42,4,22,27,9,22,8,26,22,24,10,11,16,11,13,21,21,35,3,11,0.064,0.349,0.257,0.36,5.088,38924.03,31.39,1
46,5,30,41,16,41,13,37,32,46,14,25,22,22,25,24,27,47,2,20,0.071,0.335,0.265,0.364,5.508,59183.93,33.35,1
42,4,22,27,9,23,8,26,22,24,10,11,16,11,13,20,21,35,3,11,0.064,0.349,0.257,0.36,5.088,38894.00,31.20,1
41,4,22,27,9,22,8,26,22,24,10,11,16,11,13,22,21,35,3,11,0.064,0.346,0.26,0.36,5.088,38940.03,32.47,1
24,10,25,34,9,30,12,27,27,47,19,22,9,15,19,19,22,18,0,13,0.055,0.377,0.262,0.339,5.472,45089.31,40.56,1
44,5,31,41,16,41,13,37,32,46,14,25,22,22,25,24,27,48,2,20,0.071,0.331,0.267,0.366,5.446,59255.99,33.19,1
24,6,18,26,14,19,9,25,24,31,12,24,10,20,21,18,15,30,3,12,0.08,0.324,0.247,0.36,7.636,41263.94,36.64,1
24,10,25,34,9,30,12,27,27,47,19,23,9,15,19,18,22,18,0,13,0.055,0.377,0.262,0.339,5.472,45116.34,39.40,1
41,2,36,30,24,31,14,39,35,40,13,24,13,20,13,29,26,28,1,22,0.098,0.331,0.277,0.374,5.253,53806.39,31.94,1
22,4,27,27,16,27,8,20,31,25,4,18,14,16,12,22,21,28,3,25,0.119,0.295,0.292,0.373,5.342,41960.50,30.95,1
18,0,19,31,20,26,5,8,21,38,6,16,11,8,12,23,17,27,4,13,0.115,0.353,0.294,0.393,4.808,36340.51,21.24,1
35,1,22,34,14,45,14,39,25,27,8,33,13,12,15,23,40,47,0,12,0.057,0.281,0.296,0.39,5.362,49373.04,25.96,1
43,2,35,30,24,32,14,40,35,41,13,24,12,20,14,27,25,27,1,22,0.098,0.337,0.27,0.374,5.373,53801.51,30.23,1
42,3,22,27,9,22,8,26,22,24,10,11,16,11,14,21,21,35,3,11,0.064,0.349,0.257,0.36,5.156,38977.07,30.85,1
42,2,36,30,24,31,15,40,34,40,13,24,13,20,13,27,27,27,1,22,0.098,0.331,0.272,0.376,5.244,53827.41,29.50,1
21,7,19,26,14,19,9,24,24,31,11,24,10,20,20,19,17,31,3,12,0.08,0.313,0.252,0.366,6.765,41256.81,37.51,1
31,3,23,21,9,18,8,33,20,30,9,9,11,9,18,24,12,27,0,7,0.05,0.345,0.264,0.366,5.808,35392.55,48.73,1
45,5,31,41,16,41,13,37,32,46,14,25,22,22,25,24,27,47,2,20,0.071,0.333,0.267,0.364,5.446,59227.94,33.19,1
23,6,18,26,15,21,9,23,24,32,11,25,9,20,20,16,18,30,3,12,0.083,0.321,0.247,0.368,7.113,41199.74,35.37,1
43,2,34,29,25,32,14,39,35,39,12,24,13,19,13,29,26,29,1,23,0.102,0.328,0.274,0.378,5.431,53683.31,31.16,1
42,4,22,27,9,22,8,26,22,24,10,11,15,11,13,22,21,35,3,11,0.064,0.349,0.257,0.36,5.088,38913.99,30.85,1
36,1,22,34,14,45,14,40,25,27,8,33,13,12,15,23,38,47,0,12,0.057,0.283,0.296,0.388,5.362,49355.07,26.75,1
18,1,19,32,20,25,5,8,20,38,6,16,11,8,12,23,17,27,4,13,0.115,0.353,0.291,0.393,4.734,36387.54,22.13,1
45,5,30,41,16,41,13,37,32,46,14,25,22,22,25,24,28,47,2,20,0.071,0.333,0.265,0.366,5.508,59213.95,33.43,1
41,2,36,30,24,31,13,39,35,40,13,24,13,20,13,29,26,28,1,23,0.1,0.331,0.277,0.376,5.204,53832.43,31.94,1
36,1,22,34,14,44,14,38,25,27,8,33,13,12,15,24,38,49,0,12,0.057,0.283,0.296,0.388,5.362,49357.04,26.28,1
29,4,20,19,11,18,6,27,21,28,5,17,13,10,15,21,13,31,0,11,0.069,0.32,0.279,0.379,6.113,35123.96,41.28,1
20,0,22,32,20,25,4,8,18,38,5,15,11,10,16,19,17,29,4,10,0.105,0.35,0.285,0.39,4.677,36374.47,23.03,1
42,3,22,27,9,23,8,27,22,24,10,11,16,11,14,20,21,34,3,11,0.064,0.349,0.257,0.36,5.156,38961.07,30.04,1
30,3,23,22,9,18,8,34,20,30,9,9,11,9,18,24,11,27,0,7,0.05,0.345,0.264,0.366,5.685,35462.64,48.47,1
22,4,26,27,16,27,8,20,31,25,4,19,14,16,12,22,21,28,3,25,0.119,0.295,0.292,0.373,5.424,41959.52,31.82,1
22,10,24,34,9,30,12,27,27,47,19,24,9,15,19,18,24,18,0,13,0.055,0.372,0.262,0.344,5.547,45175.41,38.55,1
24,10,24,34,9,30,12,27,27,47,19,23,9,15,19,19,22,18,0,13,0.055,0.377,0.262,0.339,5.547,45088.33,40.08,1
42,2,35,30,24,32,14,40,35,40,13,24,13,20,13,28,25,28,1,22,0.098,0.333,0.274,0.374,5.309,53744.41,30.73,1
30,4,23,22,9,18,8,33,20,30,9,9,11,9,17,24,12,27,0,7,0.05,0.345,0.264,0.366,5.565,35397.54,49.86,1
36,1,22,34,14,44,14,40,25,27,8,33,13,12,15,24,39,46,0,12,0.057,0.283,0.296,0.388,5.362,49387.07,27.17,1
36,1,22,34,14,45,14,39,25,27,8,33,13,12,15,23,39,47,0,12,0.057,0.283,0.296,0.388,5.362,49343.02,26.15,1
44,3,33,32,24,32,16,39,34,40,13,23,13,20,14,27,24,27,1,22,0.098,0.339,0.266,0.368,5.419,53805.48,32.55,1
23,6,19,26,14,18,9,24,24,32,11,24,10,20,21,18,17,30,3,12,0.08,0.321,0.247,0.366,7.114,41321.91,38.70,1
24,10,25,34,9,30,12,29,27,47,18,23,8,15,19,19,22,17,0,13,0.055,0.374,0.262,0.342,5.472,45102.29,41.53,1
36,1,22,34,14,45,14,39,25,27,8,33,12,12,15,24,39,47,0,12,0.057,0.283,0.296,0.388,5.362,49332.98,25.77,1
22,4,26,26,16,27,8,20,32,25,4,19,14,16,12,22,21,28,3,25,0.119,0.295,0.292,0.373,5.605,41958.58,30.84,1
42,2,35,30,24,32,14,40,35,40,13,24,13,20,13,29,25,27,1,22,0.098,0.333,0.277,0.372,5.309,53732.36,31.90,1
36,1,22,34,14,45,14,40,25,27,8,33,13,12,15,23,39,46,0,12,0.057,0.283,0.296,0.388,5.362,49357.04,27.10,1
36,1,22,35,14,44,14,40,25,27,8,33,13,12,15,23,38,47,0,12,0.057,0.285,0.294,0.388,5.305,49427.13,27.17,1
25,10,25,34,9,30,12,29,27,47,18,23,8,15,19,18,22,17,0,13,0.055,0.377,0.259,0.342,5.472,45086.29,41.05,1
44,3,33,31,24,32,16,39,36,40,13,23,13,20,13,27,24,27,1,22,0.098,0.341,0.266,0.368,5.545,53776.53,31.70,1
36,1,22,34,14,45,14,40,25,27,8,33,13,12,15,23,38,47,0,12,0.057,0.283,0.296,0.388,5.362,49355.07,26.50,1
45,5,31,41,16,41,13,37,32,46,14,25,22,22,25,24,26,48,2,20,0.071,0.333,0.267,0.364,5.446,59225.96,33.19,1
29,3,23,22,9,18,8,33,20,30,9,9,11,9,18,25,12,27,0,7,0.05,0.342,0.267,0.366,5.685,35466.59,49.33,1
22,7,19,26,13,19,9,26,24,31,11,24,11,20,20,18,16,30,3,12,0.078,0.316,0.252,0.363,6.765,41216.84,38.65,1
30,4,21,19,11,18,6,27,21,28,5,16,13,10,15,21,13,30,0,11,0.069,0.323,0.279,0.376,5.925,35096.89,40.29,1
45,3,33,28,24,31,17,38,38,40,13,22,13,20,13,30,21,29,1,22,0.098,0.341,0.268,0.364,5.948,53725.62,32.41,1
42,3,22,26,9,23,8,26,23,24,10,11,16,11,14,20,21,35,3,11,0.064,0.349,0.257,0.36,5.3,38946.10,29.21,1
42,2,35,30,24,32,14,39,34,40,13,24,13,20,14,29,25,28,1,22,0.098,0.331,0.277,0.372,5.309,53746.34,32.47,1
24,10,25,33,9,30,12,27,28,47,19,23,9,15,19,18,22,18,0,13,0.055,0.377,0.262,0.339,5.625,45115.40,39.40,1
23,7,19,27,13,17,8,24,24,31,11,25,10,20,20,19,16,31,3,13,0.08,0.321,0.249,0.363,6.475,41305.84,38.39,1
19,0,18,32,20,26,5,8,20,38,6,17,11,8,12,23,16,27,4,13,0.115,0.356,0.294,0.39,4.77,36310.44,20.68,1
45,5,31,41,16,41,13,38,32,46,14,25,22,22,25,24,26,47,2,20,0.071,0.333,0.267,0.364,5.446,59239.99,33.35,1
23,10,25,34,9,30,12,28,27,47,19,23,9,15,19,18,23,17,0,13,0.055,0.374,0.262,0.342,5.472,45160.39,39.71,1
24,10,25,34,9,30,12,27,28,47,19,23,9,14,19,18,22,18,0,13,0.055,0.379,0.262,0.339,5.549,45116.38,40.21,1
44,3,22,27,9,23,8,26,22,24,10,11,16,11,14,19,22,33,3,11,0.064,0.355,0.254,0.358,5.156,38904.97,30.26,1
23,10,25,34,9,30,12,27,27,47,19,23,9,15,19,18,22,19,0,13,0.055,0.374,0.262,0.342,5.472,45144.39,39.21,1
43,2,35,30,24,32,14,40,36,40,13,23,13,20,13,28,25,27,1,22,0.098,0.337,0.272,0.372,5.373,53730.43,30.99,1
23,7,19,26,14,18,9,25,24,31,11,24,10,20,20,19,15,31,3,12,0.08,0.319,0.249,0.363,6.765,41252.87,38.44,1
29,4,21,19,11,18,6,27,21,28,6,16,13,10,15,21,13,30,0,11,0.069,0.323,0.279,0.376,5.925,35157.01,41.31,1
42,2,35,30,24,32,14,40,35,41,13,24,12,20,14,27,26,27,1,22,0.098,0.335,0.27,0.376,5.373,53831.53,30.23,1
